country,continent,year,pop,birth_rate,death_rate
Russia,Europe,2000,119294411,18.9,13.2
Russia,Europe,2005,119901933,19.3,13.7
Russia,Europe,2010,120341295,19.5,14.0
Russia,Europe,2015,122680615,19.2,14.0
Russia,Europe,2020,123175538,18.4,13.7
USA,Americas,2000,125187434,25.7,12.5
USA,Americas,2005,126950456,24.5,12.8
USA,Americas,2010,129254648,24.5,12.9
USA,Americas,2015,132541272,23.7,12.7
USA,Americas,2020,131096272,23.8,13.3
China,Asia,2000,28839603,21.2,7.4
China,Asia,2005,27861769,20.6,7.4
China,Asia,2010,29084235,20.5,7.5
China,Asia,2015,29882728,19.7,7.7
China,Asia,2020,30173371,18.5,7.6
India,Asia,2000,75743149,22.9,6.7
India,Asia,2005,73456317,22.8,6.5
India,Asia,2010,76616387,22.9,6.8
India,Asia,2015,76572419,21.9,7.0
India,Asia,2020,77620818,21.1,6.5
Brazil,Americas,2000,18852869,15.4,8.0
Brazil,Americas,2005,19005922,15.0,8.2
Brazil,Americas,2010,17936355,14.6,8.0
Brazil,Americas,2015,17620390,14.6,8.1
Brazil,Americas,2020,19046672,14.2,8.5
Nigeria,Africa,2000,72382160,17.4,7.6
Nigeria,Africa,2005,72008721,17.4,8.2
Nigeria,Africa,2010,73295484,17.3,8.6
Nigeria,Africa,2015,74714242,17.5,8.0
Nigeria,Africa,2020,75734611,16.2,8.3
Germany,Europe,2000,74046416,13.2,7.6
Germany,Europe,2005,74766514,12.8,8.2
Germany,Europe,2010,75601941,13.5,8.2
Germany,Europe,2015,75442295,12.4,8.4
Germany,Europe,2020,78710684,12.3,8.6
France,Europe,2000,23549839,23.7,6.3
France,Europe,2005,25405283,23.4,6.4
France,Europe,2010,24048270,23.2,7.2
France,Europe,2015,27354297,24.1,7.1
France,Europe,2020,24661745,21.2,7.2
Japan,Asia,2000,56278868,22.6,9.4
Japan,Asia,2005,56938060,21.1,9.0
Japan,Asia,2010,57287423,21.2,10.1
Japan,Asia,2015,58581041,21.3,9.5
Japan,Asia,2020,57942859,20.0,9.6
UK,Europe,2000,61026192,30.9,13.2
UK,Europe,2005,62515631,30.0,13.0
UK,Europe,2010,63861490,29.4,12.9
UK,Europe,2015,62880630,29.3,13.9
UK,Europe,2020,65061709,28.7,13.6
Mexico,Americas,2000,55336355,29.1,12.1
Mexico,Americas,2005,55064062,27.8,11.3
Mexico,Americas,2010,57182516,28.9,11.8
Mexico,Americas,2015,55799162,28.4,11.6
Mexico,Americas,2020,55938383,27.6,11.9
Egypt,Africa,2000,81511247,11.9,5.3
Egypt,Africa,2005,79014839,11.5,5.0
Egypt,Africa,2010,80807443,10.6,5.2
Egypt,Africa,2015,83903404,10.0,5.4
Egypt,Africa,2020,83464577,10.1,5.8
Turkey,Europe,2000,102105047,33.7,7.9
Turkey,Europe,2005,104211175,32.9,8.0
Turkey,Europe,2010,105496441,34.3,8.6
Turkey,Europe,2015,105648582,32.5,7.7
Turkey,Europe,2020,107144730,32.4,8.6
Vietnam,Asia,2000,125957340,29.0,7.2
Vietnam,Asia,2005,126756585,29.1,6.9
Vietnam,Asia,2010,127679840,29.8,7.1
Vietnam,Asia,2015,129563540,29.2,8.5
Vietnam,Asia,2020,131002199,27.7,7.8
Kenya,Africa,2000,126230324,16.6,6.3
Kenya,Africa,2005,126824599,15.3,6.5
Kenya,Africa,2010,128197470,15.7,6.5
Kenya,Africa,2015,130440832,15.7,6.8
Kenya,Africa,2020,131826486,14.8,6.8
Australia,Oceania,2000,131972511,10.2,7.3
Australia,Oceania,2005,131094175,8.4,6.6
Australia,Oceania,2010,133449372,8.5,7.2
Australia,Oceania,2015,132063545,8.4,7.3
Australia,Oceania,2020,134247601,7.3,7.3
Canada,Americas,2000,99695681,29.1,6.8
Canada,Americas,2005,98580372,28.5,6.5
Canada,Americas,2010,102642396,28.0,6.0
Canada,Americas,2015,103873769,28.7,6.2
Canada,Americas,2020,105608974,27.3,6.7
South Africa,Africa,2000,106586723,16.9,14.8
South Africa,Africa,2005,107715203,16.5,14.7
South Africa,Africa,2010,109376154,15.1,14.7
South Africa,Africa,2015,109122791,15.3,14.4
South Africa,Africa,2020,111874613,14.3,15.2
