country,continent,year,pop,birth_rate,death_rate
Россия,Европа,2000,119294411,18.9,13.2
Россия,Европа,2001,119500000,18.7,13.0
Россия,Европа,2002,119800000,18.5,12.9
Россия,Европа,2003,120100000,18.3,12.8
Россия,Европа,2004,120400000,18.1,12.7
Россия,Европа,2005,119901933,19.3,13.7
Россия,Европа,2006,120200000,19.1,13.5
Россия,Европа,2007,120500000,18.9,13.3
Россия,Европа,2008,120800000,18.7,13.1
Россия,Европа,2009,121100000,18.5,13.0
Россия,Европа,2010,120341295,19.5,14.0
Россия,Европа,2011,121000000,19.3,13.8
Россия,Европа,2012,121300000,19.1,13.6
Россия,Европа,2013,121600000,18.9,13.4
Россия,Европа,2014,121900000,18.7,13.2
Россия,Европа,2015,122680615,19.2,14.0
Россия,Европа,2016,123000000,19.0,13.8
Россия,Европа,2017,123300000,18.8,13.6
Россия,Европа,2018,123600000,18.6,13.4
Россия,Европа,2019,123900000,18.4,13.2
Россия,Европа,2020,123175538,18.4,13.7
Россия,Европа,2021,123500000,18.2,13.5
Россия,Европа,2022,123800000,18.0,13.3
Россия,Европа,2023,124100000,17.8,13.1
Россия,Европа,2024,124400000,17.6,12.9
США,Америка,2000,125187434,25.7,12.5
США,Америка,2001,125500000,25.5,12.3
США,Америка,2002,125800000,25.3,12.1
США,Америка,2003,126100000,25.1,11.9
США,Америка,2004,126400000,24.9,11.7
США,Америка,2005,126950456,24.5,12.8
США,Америка,2006,127300000,24.3,12.6
США,Америка,2007,127600000,24.1,12.4
США,Америка,2008,127900000,23.9,12.2
США,Америка,2009,128200000,23.7,12.0
США,Америка,2010,129254648,24.5,12.9
США,Америка,2011,129600000,24.3,12.7
США,Америка,2012,129900000,24.1,12.5
США,Америка,2013,130200000,23.9,12.3
США,Америка,2014,130500000,23.7,12.1
США,Америка,2015,132541272,23.7,12.7
США,Америка,2016,132900000,23.5,12.5
США,Америка,2017,133200000,23.3,12.3
США,Америка,2018,133500000,23.1,12.1
США,Америка,2019,133800000,22.9,11.9
США,Америка,2020,131096272,23.8,13.3
США,Америка,2021,131400000,23.6,13.1
США,Америка,2022,131700000,23.4,12.9
США,Америка,2023,132000000,23.2,12.7
США,Америка,2024,132300000,23.0,12.5
Китай,Азия,2000,28839603,21.2,7.4
Китай,Азия,2001,29100000,21.0,7.3
Китай,Азия,2002,29300000,20.8,7.2
Китай,Азия,2003,29500000,20.6,7.1
Китай,Азия,2004,29700000,20.4,7.0
Китай,Азия,2005,27861769,20.6,7.4
Китай,Азия,2006,28000000,20.4,7.3
Китай,Азия,2007,28200000,20.2,7.2
Китай,Азия,2008,28400000,20.0,7.1
Китай,Азия,2009,28600000,19.8,7.0
Китай,Азия,2010,29084235,20.5,7.5
Китай,Азия,2011,29300000,20.3,7.4
Китай,Азия,2012,29500000,20.1,7.3
Китай,Азия,2013,29700000,19.9,7.2
Китай,Азия,2014,29900000,19.7,7.1
Китай,Азия,2015,29882728,19.7,7.7
Китай,Азия,2016,30100000,19.5,7.6
Китай,Азия,2017,30300000,19.3,7.5
Китай,Азия,2018,30500000,19.1,7.4
Китай,Азия,2019,30700000,18.9,7.3
Китай,Азия,2020,30173371,18.5,7.6
Китай,Азия,2021,30400000,18.3,7.5
